"labels","Time","Line","tsNs","id"
"{""__tenant_id__"":""fake"",""container"":""commerce-nmqv3-console-nmqv3worker"",""service"":""my-qa-commerce-nmqv3""}",1710756846469,"{""time"":""2024-03-18T10:14:06.469706531Z"",""stream"":""stdout"",""_ts"":""2024-03-18T10:14:06.4695444Z"",""_msg"":""2024-03-18T10:14:06.4694717Z [Information] 成功取得角標商品頁列表，ProductBadgeId:100，API回傳數量:32"",""_lvl"":""Information"",""_srctx"":""NMQ.Core.Router.ProcessPool.WorkerProcessPool"",""_lt"":""Common"",""_hid"":""commerce-nmqv3-console-nmqv3worker-59786bdfb-hxdpg"",""_props"":{""TaskId"":""2d15e4fe-dfcf-45cc-ac61-5f6a98e2f492"",""SourceId"":"""",""JobName"":""ProductBadgeArchiveJob"",""GroupName"":""commerce-nmqv3.group1"",""CorrelationId"":""2d15e4fe-dfcf-45cc-ac61-5f6a98e2f492"",""LogRootPath"":""D:\\logs\\nmq""},""source"":""commerce-nmqv3-console-nmqv3worker-59786bdfb-hxdpg"",""kube_namespace"":""my-qa-commerce-nmqv3"",""kube_container_name"":""commerce-nmqv3-console-nmqv3worker""}",1710756846469706531,1710756846469706531_86a94580
"{""__tenant_id__"":""fake"",""container"":""commerce-nmqv3-console-nmqv3worker"",""service"":""my-qa-commerce-nmqv3""}",1710756846425,"{""time"":""2024-03-18T10:14:06.425403317Z"",""stream"":""stdout"",""_ts"":""2024-03-18T10:14:06.4226919Z"",""_msg"":""2024-03-18T10:14:06.4226175Z [Information] 正在處理角標ID 100"",""_lvl"":""Information"",""_srctx"":""NMQ.Core.Router.ProcessPool.WorkerProcessPool"",""_lt"":""Common"",""_hid"":""commerce-nmqv3-console-nmqv3worker-59786bdfb-hxdpg"",""_props"":{""TaskId"":""2d15e4fe-dfcf-45cc-ac61-5f6a98e2f492"",""SourceId"":"""",""JobName"":""ProductBadgeArchiveJob"",""GroupName"":""commerce-nmqv3.group1"",""CorrelationId"":""2d15e4fe-dfcf-45cc-ac61-5f6a98e2f492"",""LogRootPath"":""D:\\logs\\nmq""},""source"":""commerce-nmqv3-console-nmqv3worker-59786bdfb-hxdpg"",""kube_namespace"":""my-qa-commerce-nmqv3"",""kube_container_name"":""commerce-nmqv3-console-nmqv3worker""}",1710756846425403317,1710756846425403317_6239bbc7
"{""__tenant_id__"":""fake"",""container"":""commerce-nmqv3-console-nmqv3worker"",""service"":""my-qa-commerce-nmqv3""}",1710756845469,"{""time"":""2024-03-18T10:14:05.469041737Z"",""stream"":""stdout"",""_ts"":""2024-03-18T10:14:05.4689070Z"",""_msg"":""2024-03-18T10:14:05.4688325Z [Information] 成功取得角標商品頁列表，ProductBadgeId:99，API回傳數量:32"",""_lvl"":""Information"",""_srctx"":""NMQ.Core.Router.ProcessPool.WorkerProcessPool"",""_lt"":""Common"",""_hid"":""commerce-nmqv3-console-nmqv3worker-59786bdfb-hxdpg"",""_props"":{""TaskId"":""2d15e4fe-dfcf-45cc-ac61-5f6a98e2f492"",""SourceId"":"""",""JobName"":""ProductBadgeArchiveJob"",""GroupName"":""commerce-nmqv3.group1"",""CorrelationId"":""2d15e4fe-dfcf-45cc-ac61-5f6a98e2f492"",""LogRootPath"":""D:\\logs\\nmq""},""source"":""commerce-nmqv3-console-nmqv3worker-59786bdfb-hxdpg"",""kube_namespace"":""my-qa-commerce-nmqv3"",""kube_container_name"":""commerce-nmqv3-console-nmqv3worker""}",1710756845469041737,1710756845469041737_bb052854
"{""__tenant_id__"":""fake"",""container"":""commerce-nmqv3-console-nmqv3worker"",""service"":""my-qa-commerce-nmqv3""}",1710756845423,"{""time"":""2024-03-18T10:14:05.423769639Z"",""stream"":""stdout"",""_ts"":""2024-03-18T10:14:05.4237239Z"",""_msg"":""2024-03-18T10:14:05.4236448Z [Information] 正在處理角標ID 99"",""_lvl"":""Information"",""_srctx"":""NMQ.Core.Router.ProcessPool.WorkerProcessPool"",""_lt"":""Common"",""_hid"":""commerce-nmqv3-console-nmqv3worker-59786bdfb-hxdpg"",""_props"":{""TaskId"":""2d15e4fe-dfcf-45cc-ac61-5f6a98e2f492"",""SourceId"":"""",""JobName"":""ProductBadgeArchiveJob"",""GroupName"":""commerce-nmqv3.group1"",""CorrelationId"":""2d15e4fe-dfcf-45cc-ac61-5f6a98e2f492"",""LogRootPath"":""D:\\logs\\nmq""},""source"":""commerce-nmqv3-console-nmqv3worker-59786bdfb-hxdpg"",""kube_namespace"":""my-qa-commerce-nmqv3"",""kube_container_name"":""commerce-nmqv3-console-nmqv3worker""}",1710756845423769639,1710756845423769639_7758fc7c
"{""__tenant_id__"":""fake"",""container"":""commerce-nmqv3-console-nmqv3worker"",""service"":""my-qa-commerce-nmqv3""}",1710756844570,"{""time"":""2024-03-18T10:14:04.570738963Z"",""stream"":""stdout"",""_ts"":""2024-03-18T10:14:04.5706457Z"",""_msg"":""2024-03-18T10:14:04.5705919Z [Information] 成功取得角標商品頁列表，ProductBadgeId:98，API回傳數量:32"",""_lvl"":""Information"",""_srctx"":""NMQ.Core.Router.ProcessPool.WorkerProcessPool"",""_lt"":""Common"",""_hid"":""commerce-nmqv3-console-nmqv3worker-59786bdfb-hxdpg"",""_props"":{""TaskId"":""2d15e4fe-dfcf-45cc-ac61-5f6a98e2f492"",""SourceId"":"""",""JobName"":""ProductBadgeArchiveJob"",""GroupName"":""commerce-nmqv3.group1"",""CorrelationId"":""2d15e4fe-dfcf-45cc-ac61-5f6a98e2f492"",""LogRootPath"":""D:\\logs\\nmq""},""source"":""commerce-nmqv3-console-nmqv3worker-59786bdfb-hxdpg"",""kube_namespace"":""my-qa-commerce-nmqv3"",""kube_container_name"":""commerce-nmqv3-console-nmqv3worker""}",1710756844570738963,1710756844570738963_4be2ad81
"{""__tenant_id__"":""fake"",""container"":""commerce-nmqv3-console-nmqv3worker"",""service"":""my-qa-commerce-nmqv3""}",1710756844516,"{""time"":""2024-03-18T10:14:04.516657708Z"",""stream"":""stdout"",""_ts"":""2024-03-18T10:14:04.5166281Z"",""_msg"":""2024-03-18T10:14:04.5165651Z [Information] 正在處理角標ID 98"",""_lvl"":""Information"",""_srctx"":""NMQ.Core.Router.ProcessPool.WorkerProcessPool"",""_lt"":""Common"",""_hid"":""commerce-nmqv3-console-nmqv3worker-59786bdfb-hxdpg"",""_props"":{""TaskId"":""2d15e4fe-dfcf-45cc-ac61-5f6a98e2f492"",""SourceId"":"""",""JobName"":""ProductBadgeArchiveJob"",""GroupName"":""commerce-nmqv3.group1"",""CorrelationId"":""2d15e4fe-dfcf-45cc-ac61-5f6a98e2f492"",""LogRootPath"":""D:\\logs\\nmq""},""source"":""commerce-nmqv3-console-nmqv3worker-59786bdfb-hxdpg"",""kube_namespace"":""my-qa-commerce-nmqv3"",""kube_container_name"":""commerce-nmqv3-console-nmqv3worker""}",1710756844516657708,1710756844516657708_90cd36b7
"{""__tenant_id__"":""fake"",""container"":""commerce-nmqv3-console-nmqv3worker"",""service"":""my-qa-commerce-nmqv3""}",1710756843581,"{""time"":""2024-03-18T10:14:03.581253945Z"",""stream"":""stdout"",""_ts"":""2024-03-18T10:14:03.5811323Z"",""_msg"":""2024-03-18T10:14:03.5810478Z [Information] 成功取得角標商品頁列表，ProductBadgeId:97，API回傳數量:32"",""_lvl"":""Information"",""_srctx"":""NMQ.Core.Router.ProcessPool.WorkerProcessPool"",""_lt"":""Common"",""_hid"":""commerce-nmqv3-console-nmqv3worker-59786bdfb-hxdpg"",""_props"":{""TaskId"":""2d15e4fe-dfcf-45cc-ac61-5f6a98e2f492"",""SourceId"":"""",""JobName"":""ProductBadgeArchiveJob"",""GroupName"":""commerce-nmqv3.group1"",""CorrelationId"":""2d15e4fe-dfcf-45cc-ac61-5f6a98e2f492"",""LogRootPath"":""D:\\logs\\nmq""},""source"":""commerce-nmqv3-console-nmqv3worker-59786bdfb-hxdpg"",""kube_namespace"":""my-qa-commerce-nmqv3"",""kube_container_name"":""commerce-nmqv3-console-nmqv3worker""}",1710756843581253945,1710756843581253945_4df4ef97
"{""__tenant_id__"":""fake"",""container"":""commerce-nmqv3-console-nmqv3worker"",""service"":""my-qa-commerce-nmqv3""}",1710756843533,"{""time"":""2024-03-18T10:14:03.533601137Z"",""stream"":""stdout"",""_ts"":""2024-03-18T10:14:03.5335675Z"",""_msg"":""2024-03-18T10:14:03.5334890Z [Information] 正在處理角標ID 97"",""_lvl"":""Information"",""_srctx"":""NMQ.Core.Router.ProcessPool.WorkerProcessPool"",""_lt"":""Common"",""_hid"":""commerce-nmqv3-console-nmqv3worker-59786bdfb-hxdpg"",""_props"":{""TaskId"":""2d15e4fe-dfcf-45cc-ac61-5f6a98e2f492"",""SourceId"":"""",""JobName"":""ProductBadgeArchiveJob"",""GroupName"":""commerce-nmqv3.group1"",""CorrelationId"":""2d15e4fe-dfcf-45cc-ac61-5f6a98e2f492"",""LogRootPath"":""D:\\logs\\nmq""},""source"":""commerce-nmqv3-console-nmqv3worker-59786bdfb-hxdpg"",""kube_namespace"":""my-qa-commerce-nmqv3"",""kube_container_name"":""commerce-nmqv3-console-nmqv3worker""}",1710756843533601137,1710756843533601137_874fcc13
"{""__tenant_id__"":""fake"",""container"":""commerce-nmqv3-console-nmqv3worker"",""service"":""my-qa-commerce-nmqv3""}",1710756842563,"{""time"":""2024-03-18T10:14:02.563438921Z"",""stream"":""stdout"",""_ts"":""2024-03-18T10:14:02.5633319Z"",""_msg"":""2024-03-18T10:14:02.5632557Z [Information] 成功取得角標商品頁列表，ProductBadgeId:96，API回傳數量:32"",""_lvl"":""Information"",""_srctx"":""NMQ.Core.Router.ProcessPool.WorkerProcessPool"",""_lt"":""Common"",""_hid"":""commerce-nmqv3-console-nmqv3worker-59786bdfb-hxdpg"",""_props"":{""TaskId"":""2d15e4fe-dfcf-45cc-ac61-5f6a98e2f492"",""SourceId"":"""",""JobName"":""ProductBadgeArchiveJob"",""GroupName"":""commerce-nmqv3.group1"",""CorrelationId"":""2d15e4fe-dfcf-45cc-ac61-5f6a98e2f492"",""LogRootPath"":""D:\\logs\\nmq""},""source"":""commerce-nmqv3-console-nmqv3worker-59786bdfb-hxdpg"",""kube_namespace"":""my-qa-commerce-nmqv3"",""kube_container_name"":""commerce-nmqv3-console-nmqv3worker""}",1710756842563438921,1710756842563438921_bf15b4ad
"{""__tenant_id__"":""fake"",""container"":""commerce-nmqv3-console-nmqv3worker"",""service"":""my-qa-commerce-nmqv3""}",1710756842513,"{""time"":""2024-03-18T10:14:02.513143108Z"",""stream"":""stdout"",""_ts"":""2024-03-18T10:14:02.5131103Z"",""_msg"":""2024-03-18T10:14:02.5130446Z [Information] 正在處理角標ID 96"",""_lvl"":""Information"",""_srctx"":""NMQ.Core.Router.ProcessPool.WorkerProcessPool"",""_lt"":""Common"",""_hid"":""commerce-nmqv3-console-nmqv3worker-59786bdfb-hxdpg"",""_props"":{""TaskId"":""2d15e4fe-dfcf-45cc-ac61-5f6a98e2f492"",""SourceId"":"""",""JobName"":""ProductBadgeArchiveJob"",""GroupName"":""commerce-nmqv3.group1"",""CorrelationId"":""2d15e4fe-dfcf-45cc-ac61-5f6a98e2f492"",""LogRootPath"":""D:\\logs\\nmq""},""source"":""commerce-nmqv3-console-nmqv3worker-59786bdfb-hxdpg"",""kube_namespace"":""my-qa-commerce-nmqv3"",""kube_container_name"":""commerce-nmqv3-console-nmqv3worker""}",1710756842513143107,1710756842513143107_e5796dcf
